Year_Make_Model,Vehicle Type,Base MSRP,Electric Range
2024 HYUNDAI IONIQ 5,BEV,0.0,0.0
2024 HYUNDAI IONIQ 6,BEV,0.0,0.0
2024 HYUNDAI KONA,BEV,0.0,0.0
2024 HYUNDAI TUCSON,PHEV,0.0,33.0
2024 JAGUAR I-PACE,BEV,0.0,0.0
2024 JEEP GRAND CHEROKEE,PHEV,0.0,25.0
2024 JEEP WAGONEER S,BEV,0.0,0.0
2024 JEEP WRANGLER,PHEV,0.0,21.0
2024 KIA EV6,BEV,0.0,0.0
2024 KIA EV9,BEV,0.0,0.0
2024 KIA NIRO,BEV,0.0,0.0
2024 KIA NIRO,PHEV,0.0,33.0
2024 KIA SORENTO,PHEV,0.0,32.0
2024 KIA SPORTAGE,PHEV,0.0,34.0
2024 LAMBORGHINI REVUELTO,PHEV,0.0,6.0
2024 LAND ROVER RANGE ROVER,PHEV,0.0,59.0
2024 LAND ROVER RANGE ROVER SPORT,PHEV,0.0,59.0
2024 LEXUS NX,PHEV,0.0,37.0
2024 LEXUS RX,PHEV,0.0,37.0
2024 LEXUS RZ,BEV,0.0,0.0
2024 LEXUS TX,PHEV,0.0,33.0
2024 LINCOLN CORSAIR,PHEV,0.0,28.0
2024 LUCID AIR,BEV,0.0,0.0
2024 MAZDA CX-90,PHEV,0.0,26.0
2024 MERCEDES-BENZ EQB-CLASS,BEV,0.0,0.0
2024 MERCEDES-BENZ EQE-CLASS SEDAN,BEV,0.0,0.0
2024 MERCEDES-BENZ EQE-CLASS SUV,BEV,0.0,0.0
2024 MERCEDES-BENZ EQS-CLASS SEDAN,BEV,0.0,0.0
2024 MERCEDES-BENZ EQS-CLASS SUV,BEV,0.0,0.0
2024 MERCEDES-BENZ ESPRINTER,BEV,0.0,0.0
2024 MERCEDES-BENZ GLE-CLASS,PHEV,0.0,48.0
2024 MERCEDES-BENZ S-CLASS,PHEV,0.0,46.0
2024 MINI HARDTOP,BEV,0.0,0.0
2024 MITSUBISHI OUTLANDER,PHEV,0.0,38.0
2024 MULLEN AUTOMOTIVE INC. ONE,BEV,0.0,0.0
2024 NISSAN ARIYA,BEV,0.0,0.0
2024 NISSAN LEAF,BEV,0.0,0.0
2024 POLESTAR PS2,BEV,0.0,0.0
2024 PORSCHE CAYENNE,PHEV,0.0,43.0
2024 PORSCHE MACAN,BEV,0.0,288.0
2024 PORSCHE TAYCAN,BEV,0.0,0.0
2024 RAM PROMASTER 3500,BEV,0.0,0.0
