Model,Base Price,EPA range (miles),Dest. Charge,Tax Credit,Effective Price
2025 Genesis GV60 Performance AWD,"$69,900 ",N/A,"$1,250 ",$0 ,"$71,150 "
2025 BMW i5 xDrive40,"$70,100 ",266,"$1,175 ",$0 ,"$71,275 "
2024 Kia EV9 Land AWD,"$69,900 ",280,"$1,495 ",$0 ,"$71,395 "
2025 Lucid Air Pure,"$69,900 ",420,"$1,500 ",$0 ,"$71,400 "
2024 Ford F-150 Lightning Lariat 4X4 131 kWh,"$76,995 ",320,"$2,095 ","$7,500 ","$71,590 "
2025 BMW i4 M50 Gran Coupe,"$70,700 ",267,"$1,175 ",$0 ,"$71,875 "
2025 Rivian R1T Dual Large,"$76,900 ",330,$0 ,"$3,750 ","$73,150 "
2024 VinFast VF9 Plus,"$73,800 ",291,$0 ,$0 ,"$73,800 "
2024 Jaguar I-Pace R-Dynamic HSE EV400 20-inch,"$72,500 ",246,"$1,375 ",$0 ,"$73,875 "
2024 Tesla Model X AWD,"$79,990 ",335,"$1,390 ","$7,500 ","$73,880 "
2025 Polestar 3 Long Range Dual Motor AWD,"$73,400 ",315,"$1,400 ",$0 ,"$74,800 "
2024 Chevrolet Silverado EV 3WT,"$72,905 ",393,"$1,995 ",$0 ,"$74,900 "
2024 Kia EV9 GT-Line AWD,"$73,900 ",270,"$1,495 ",$0 ,"$75,395 "
2024 Audi Q8 e-tron Premium AWD,"$74,400 ",285,"$1,195 ",$0 ,"$75,595 "
2024 Genesis Electrified G80 Advanced AWD,"$74,375 ",282,"$1,250 ",$0 ,"$75,625 "
2024 Jaguar I-Pace R-Dynamic HSE EV400 22-inch,"$74,500 ",217,"$1,375 ",$0 ,"$75,875 "
2025 Rivian R1S Dual Standard,"$75,900 ",270,$0 ,$0 ,"$75,900 "
2024 Mercedes-Benz EQE 350+ Sedan,"$74,900 ",298,"$1,150 ",$0 ,"$76,050 "
2024 Tesla Model S AWD,"$74,990 ",402,"$1,390 ",$0 ,"$76,380 "
2024 Audi Q8 Sportback e-tron Premium Ultra AWD,"$77,800 ",300,"$1,195 ",$0 ,"$78,995 "
