Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 Mercedes-Benz EQS 450 4Matic Sedan,"$107,400 ","$1,150 ",$0 ,"$108,550 ",345
2024 Mercedes-Benz EQS 450 4Matic SUV,"$107,400 ","$1,150 ",$0 ,"$108,550 ",330
2024 Mercedes-AMG EQE 4Matic+ SUV,"$109,300 ","$1,150 ",$0 ,"$110,450 ",235
2025 Lucid Air Grand Touring,"$110,900 ","$1,500 ",$0 ,"$112,400 ",512
2025 BMW iX M60 xDrive,"$111,500 ","$1,175 ",$0 ,"$112,675 ",285
2025 Porsche Taycan 4 Cross Turismo,"$111,100 ","$1,995 ",$0 ,"$113,095 ",277
2024 Audi e-tron GT Prestige AWD,"$114,500 ","$1,495 ",$0 ,"$115,995 ",249
2025 Porsche Taycan 4S,"$118,500 ","$1,995 ",$0 ,"$120,495 ",252
2024 Tesla Cybertruck Tri-Motor Cyberbeast Foundation Series,"$119,990 ","$1,995 ",$0 ,"$121,985 ",301
2025 BMW i7 xDrive60,"$124,200 ","$1,175 ",$0 ,"$125,375 ",311
2025 Porsche Taycan 4S Cross Turismo,"$125,200 ","$1,995 ",$0 ,"$127,195 ",272
2025 Cadillac Escalade iQ (estimated starting price and range),"$127,700 ",$0 ,$0 ,"$127,700 ",460
2024 Mercedes-Benz EQS 580 4Matic Sedan,"$127,350 ","$1,150 ",$0 ,"$128,500 ",345
2024 Mercedes-Benz EQS 580 4Matic SUV,"$127,350 ","$1,150 ",$0 ,"$128,500 ",330
2024 Audi RS e-tron GT AWD,"$147,100 ","$1,495 ",$0 ,"$148,595 ",249
2024 Mercedes-AMG EQS 4Matic+ Sedan,"$147,550 ","$1,150 ",$0 ,"$148,700 ",305
2025 BMW i7 M70,"$168,500 ","$1,175 ",$0 ,"$169,675 ",285
2025 Porsche Taycan Turbo,"$173,600 ","$1,995 ",$0 ,"$175,595 ",292
2025 Porsche Taycan Turbo Cross Turismo,"$176,300 ","$1,995 ",$0 ,"$178,295 ",265
2024 Mercedes-Benz EQS 680 4Matic Maybach SUV,"$179,900 ","$1,150 ",$0 ,"$181,050 ",321
2025 Porsche Taycan Turbo S,"$209,000 ","$1,995 ",$0 ,"$210,995 ",266
2025 Porsche Taycan Turbo S Cross Turismo,"$211,700 ","$1,995 ",$0 ,"$213,695 ",261
2025 Porsche Taycan Turbo GT,"$230,000 ","$1,995 ",$0 ,"$231,995 ",276
2025 Porsche Taycan Turbo GT Weissach Package,"$230,000 ","$1,995 ",$0 ,"$231,995 ",269
2025 Lucid Air Sapphire,"$249,000 ","$1,500 ",$0 ,"$250,500 ",427
2024 Cadillac Celestiq (estimated price and range),"$340,000 ",$0 ,$0 ,"$340,000 ",300
2025 Rolls-Royce Spectre 22-inch,"$420,000 ",$0 ,$0 ,"$420,000 ",277
