Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 Mercedes-Benz EQB 300 4Matic,"$57,200 ","$1,150 ",$0 ,"$58,350 ",205.0
2024 Acura ZDX A-Spec RWD,"$64,500 ","$1,350 ","$7,500 ","$58,350 ",313.0
2024 Hyundai Ioniq 5 Limited AWD,"$57,000 ","$1,395 ",$0 ,"$58,395 ",260.0
2024 Volvo EX40 (XC40 Recharge) Plus AWD,"$57,150 ","$1,295 ",$0 ,"$58,445 ",254.0
2024 Volvo EC40 (C40 Recharge) Plus AWD,"$57,150 ","$1,295 ",$0 ,"$58,445 ",257.0
2024 BMW i4 eDrive40 Gran Croupe,"$57,300 ","$1,175 ",$0 ,"$58,475 ",301.0
2024 Kia EV6 GT-Line AWD,"$57,600 ","$1,375 ",$0 ,"$58,975 ",252.0
2025 BMW i4 eDrive40 Gran Croupe,"$57,900 ","$1,175 ",$0 ,"$59,075 ",318.0
2024 Audi Q4 Sportback e-tron Premium AWD,"$58,200 ","$1,195 ",$0 ,"$59,395 ",258.0
2024 Lexus RZ 450e Premium AWD,"$58,700 ","$1,175 ",$0 ,"$59,875 ",220.0
2024 Ford E-Transit Cargo Van,"$57,935 ","$2,095 ",$0 ,"$60,030 ",159.0
2024 Cadillac Lyriq Luxury 1 AWD,"$66,190 ","$1,395 ","$7,500 ","$60,085 ",307.0
2024 Volvo EX40 (XC40 Recharge) Ultimate RWD,"$58,800 ","$1,295 ",$0 ,"$60,095 ",293.0
2024 Volvo EC40 (C40 Recharge) Ultimate RWD,"$58,800 ","$1,295 ",$0 ,"$60,095 ",297.0
2024 Cadillac Lyriq Sport 1 AWD,"$66,690 ","$1,395 ","$7,500 ","$60,585 ",307.0
2024 Kia EV9 Light Long Range RWD,"$59,200 ","$1,495 ",$0 ,"$60,695 ",304.0
2024 Hyundai Ioniq 5 D100 Platinum Edition AWD,"$59,400 ","$1,395 ",$0 ,"$60,795 ",260.0
2024 Cadillac Lyriq Luxury 2 RWD,"$66,990 ","$1,395 ","$7,500 ","$60,885 ",314.0
2024 Lexus RZ 300e Luxury FWD,"$59,730 ","$1,175 ",$0 ,"$60,905 ",224.0
2024 Ford Mustang Mach-E Rally AWD 91 kWh,"$58,995 ","$1,995 ",$0 ,"$60,990 ",265.0
2024 Audi Q4 55 e-tron Premium Plus AWD,"$59,900 ","$1,195 ",$0 ,"$61,095 ",258.0
2024 Cadillac Lyriq Sport 2 RWD,"$67,490 ","$1,395 ","$7,500 ","$61,385 ",314.0
